id,poland,longitude,latitude,optional
2896,P1411,26.10472068,51.60499987,TRUE
22,P1410,26.49999825,50.79999985,TRUE
258,P1410,27.03444133,50.77388882,TRUE
933,P1410,26.3630584,51.23543985,TRUE
1066,P1410,26.9986874,50.82537982,TRUE
1223,P1410,26.55182815,51.09618984,TRUE
1309,P1410,26.17999863,51.05694386,TRUE
1475,P1410,26.30416548,51.13416686,TRUE
1729,P1410,26.30416548,51.12833286,TRUE
1886,P1410,27.12194113,50.89819381,TRUE
83,P1409,26.51610925,50.47111085,TRUE
259,P1409,26.51666526,50.34999985,TRUE
260,P1409,26.51666526,50.34999985,TRUE
261,P1409,26.51666526,50.34999985,TRUE
1286,P1409,26.14999871,50.39999987,TRUE
3001,P1409,26.2425086,50.52059986,TRUE
532,P1408,26.674348,50.60029984,TRUE
672,P1408,25.97627887,50.74304987,TRUE
688,P1408,26.31600851,50.58560986,TRUE
689,P1408,26.31600851,50.58560986,TRUE
736,P1408,27.16054708,50.61654981,TRUE
986,P1408,26.07638777,50.68333287,TRUE
1669,P1408,26.22742861,50.62307986,TRUE
1670,P1408,26.22742861,50.62307986,TRUE
288,P1407,25.89999898,49.81722188,TRUE
289,P1407,25.89999898,49.81722188,TRUE
290,P1407,25.89999898,49.81722188,TRUE
943,P1407,25.71666612,50.08333289,TRUE
1686,P1407,25.71666612,50.08499989,TRUE
2026,P1407,25.76222109,49.89361089,TRUE
3017,P1407,25.79388807,49.82611089,TRUE
420,P1406,25.73431909,50.41693989,TRUE
421,P1406,25.73431909,50.41693989,TRUE
422,P1406,25.73431909,50.41693989,TRUE
1935,P1406,25.70842911,50.37960989,TRUE
365,P1405,25.31666636,50.74999991,TRUE
557,P1405,25.81666601,50.72305588,TRUE
917,P1405,25.6994431,50.92138889,TRUE
1058,P1405,25.34243935,50.75931991,TRUE
1059,P1405,25.34243935,50.75931991,TRUE
1060,P1405,25.34243935,50.75931991,TRUE
1061,P1405,25.34243935,50.75931991,TRUE
1062,P1405,25.34243935,50.75931991,TRUE
1063,P1405,25.34243935,50.75931991,TRUE
1064,P1405,25.34243935,50.75931991,TRUE
1065,P1405,25.34243935,50.75931991,TRUE
1398,P1405,25.31666636,50.75194391,TRUE
1452,P1405,25.53388823,50.7166669,TRUE
1675,P1405,25.26905938,50.91541991,TRUE
1854,P1405,25.32638836,50.67055591,TRUE
1992,P1405,25.00177952,50.76528992,TRUE
2905,P1405,25.99999883,50.99999987,TRUE
2906,P1405,25.99999883,50.99999987,TRUE
2907,P1405,25.99999883,50.99999987,TRUE
2908,P1405,25.99999883,50.99999987,TRUE
572,P1404,24.78333261,50.71666693,TRUE
1392,P1404,25.0616665,50.45249992,TRUE
226,P1403,24.97717952,51.13024992,TRUE
626,P1403,24.80083259,51.18388893,TRUE
745,P1403,24.70866963,51.21525993,TRUE
746,P1403,24.70866963,51.21525993,TRUE
747,P1403,24.70866963,51.21525993,TRUE
1328,P1403,24.71666663,51.07583293,TRUE
628,P1402,24.03138881,50.99694395,TRUE
1660,P1402,24.32222175,50.85277795,TRUE
2047,P1402,24.31805575,50.84805595,TRUE
2869,P1402,24.32363975,50.85252995,TRUE
1414,P1401,23.74722186,51.35599996,TRUE
1865,P1309,26.84596758,51.89114983,TRUE
1866,P1309,26.84596758,51.89114983,TRUE
1576,P1308,24.45729969,52.55599994,TRUE
1488,P1307,26.09509866,52.12289987,TRUE
1489,P1307,26.09509866,52.12289987,TRUE
3010,P1304,24.0114998,52.19839995,TRUE
621,P1303,24.95863952,51.62411992,TRUE
1350,P1303,25.04972147,51.82527792,TRUE
151,P1301,23.68774986,52.09754996,TRUE
152,P1301,23.68774986,52.09754996,TRUE
169,P1301,23.68774986,52.09754996,TRUE
170,P1301,23.68774986,52.09754996,TRUE
2926,P1301,23.3708299,52.37090997,TRUE
3018,P1301,23.95480381,52.29999996,TRUE
388,P1208,26.51666496,54.08333285,TRUE
2968,P1208,26.05722061,53.88416687,TRUE
345,P1207,25.18555535,53.86527791,TRUE
730,P1207,24.97527724,54.12861103,TRUE
731,P1207,24.97527724,54.12861103,TRUE
996,P1207,25.29971928,53.88332991,TRUE
997,P1207,25.29971928,53.88332991,TRUE
1236,P1207,25.43529918,54.0234999,TRUE
1529,P1207,25.01499943,54.26694392,TRUE
1800,P1207,25.75083192,54.09416689,TRUE
1896,P1207,25.18944334,53.95599991,TRUE
1676,P1206,26.86419735,53.68849983,TRUE
1867,P1206,26.74339761,53.47849983,TRUE
648,P1205,25.73833229,53.33694389,TRUE
649,P1205,25.73833229,53.33694389,TRUE
650,P1205,25.73833229,53.33694389,TRUE
956,P1205,25.21611045,53.53083291,TRUE
957,P1205,25.21611045,53.53083291,TRUE
1326,P1205,26.00533199,53.49027765,TRUE
1361,P1205,25.81909887,53.59419988,TRUE
1362,P1205,25.81909887,53.59419988,TRUE
1363,P1205,25.81909887,53.59419988,TRUE
1364,P1205,25.81909887,53.59419988,TRUE
1922,P1205,25.79999889,53.73805544,TRUE
1926,P1205,25.64249903,53.66666689,TRUE
1038,P1204,24.74277735,53.75194393,TRUE
1808,P1204,24.71666658,53.56611093,TRUE
33,P1202,26.0138987,53.13269987,TRUE
34,P1202,26.0138987,53.13269987,TRUE
924,P1201,24.9197215,53.26527792,TRUE
1789,P1201,25.31629929,53.08689991,TRUE
452,P1109,25.48333211,54.8499999,TRUE
573,P1109,25.33332924,54.44999991,TRUE
602,P1109,26.01666561,54.73333287,TRUE
611,P1109,25.48333211,54.8499999,TRUE
627,P1109,25.49722112,54.3749999,TRUE
952,P1109,25.36111021,54.63611091,TRUE
1338,P1109,25.48332911,54.8499999,TRUE
1339,P1109,25.48332911,54.8499999,TRUE
1365,P1109,25.16499933,54.78888891,TRUE
1406,P1109,25.56099905,54.8219999,TRUE
1451,P1109,25.19833232,54.57888891,TRUE
1778,P1109,25.11666937,54.54999992,TRUE
2003,P1109,25.53332909,54.4499999,TRUE
2883,P1109,25.26388827,54.80277791,TRUE
2959,P1109,25.18055533,54.70555591,TRUE
53,P1108,27.06138568,55.64333282,TRUE
677,P1108,27.06138568,55.64333282,TRUE
678,P1108,27.06138568,55.64333282,TRUE
1237,P1108,27.06138568,55.64333282,TRUE
1377,P1108,26.63333064,55.39999984,TRUE
2801,P1108,26.63049765,55.39449984,TRUE
2802,P1108,26.63049765,55.39449984,TRUE
2932,P1108,27.22819626,55.45189981,TRUE
2933,P1108,27.22819626,55.45189981,TRUE
91,P1107,28.08139309,55.17439978,TRUE
379,P1107,27.76669454,54.89179979,TRUE
423,P1107,27.38582881,55.3541668,TRUE
1609,P1107,28.15979269,55.20599978,TRUE
1528,P1106,27.17439643,55.30499981,TRUE
51,P1105,26.1666654,55.13333287,TRUE
1222,P1105,26.1666654,55.13333287,TRUE
1335,P1105,26.1666654,55.13333287,TRUE
1513,P1105,25.78333185,54.98333289,TRUE
1905,P1105,25.9999986,55.16666988,TRUE
1906,P1105,25.9999986,55.16666988,TRUE
1907,P1105,25.9999986,55.16666988,TRUE
1908,P1105,25.9999986,55.16666988,TRUE
2950,P1105,25.96666865,54.96666988,TRUE
167,P1104,26.91666416,54.48333282,TRUE
955,P1104,26.95849705,54.56099982,TRUE
31,P1103,27.002497,54.14111082,TRUE
525,P1103,26.84999732,54.31666683,TRUE
493,P1102,25.83989882,54.32799988,TRUE
494,P1102,25.83989882,54.32799988,TRUE
951,P1102,25.93333172,54.41666688,TRUE
1425,P1102,25.93599871,54.42099988,TRUE
1501,P1102,25.61944103,54.26388889,TRUE
599,P1101,25.27305483,54.7438888,TRUE
701,P1101,25.36077721,54.67091291,TRUE
702,P1101,25.36077721,54.67091291,TRUE
703,P1101,25.36077721,54.67091291,TRUE
1531,P1101,25.30947424,54.72451391,TRUE
2027,P1101,25.27979927,54.68915991,TRUE
2028,P1101,25.27979927,54.68915991,TRUE
2029,P1101,25.27979927,54.68915991,TRUE
2030,P1101,25.27979927,54.68915991,TRUE
2031,P1101,25.27979927,54.68915991,TRUE
2032,P1101,25.27979927,54.68915991,TRUE
2033,P1101,25.27979927,54.68915991,TRUE
2034,P1101,25.27979927,54.68915991,TRUE
2035,P1101,25.27979927,54.68915991,TRUE
2036,P1101,25.27979927,54.68915991,TRUE
2037,P1101,25.27979927,54.68915991,TRUE
2038,P1101,25.27979927,54.68915991,TRUE
2039,P1101,25.27979927,54.68915991,TRUE
2040,P1101,25.27979927,54.68915991,TRUE
2041,P1101,25.27979927,54.68915991,TRUE
2042,P1101,25.27979927,54.68915991,TRUE
2043,P1101,25.27979927,54.68915991,TRUE
2044,P1101,25.27979927,54.68915991,TRUE
2045,P1101,25.27979927,54.68915991,TRUE
2824,P1101,25.27979927,54.68915991,TRUE
2825,P1101,25.27979927,54.68915991,TRUE
2826,P1101,25.27979927,54.68915991,TRUE
2827,P1101,25.27979927,54.68915991,TRUE
2828,P1101,25.27979927,54.68915991,TRUE
2829,P1101,25.27979927,54.68915991,TRUE
2830,P1101,25.27979927,54.68915991,TRUE
2831,P1101,25.27979927,54.68915991,TRUE
2832,P1101,25.27979927,54.68915991,TRUE
2833,P1101,25.27979927,54.68915991,TRUE
2834,P1101,25.27979927,54.68915991,TRUE
2835,P1101,25.27979927,54.68915991,TRUE
2836,P1101,25.27979927,54.68915991,TRUE
2837,P1101,25.27979927,54.68915991,TRUE
2838,P1101,25.27979927,54.68915991,TRUE
2839,P1101,25.27979927,54.68915991,TRUE
2840,P1101,25.27979927,54.68915991,TRUE
2841,P1101,25.27979927,54.68915991,TRUE
2842,P1101,25.27979927,54.68915991,TRUE
2843,P1101,25.27979927,54.68915991,TRUE
2844,P1101,25.27979927,54.68915991,TRUE
2845,P1101,25.27979927,54.68915991,TRUE
2846,P1101,25.27979927,54.68915991,TRUE
2847,P1101,25.27979927,54.68915991,TRUE
2848,P1101,25.27979927,54.68915991,TRUE
2849,P1101,25.27979927,54.68915991,TRUE
2850,P1101,25.27979927,54.68915991,TRUE
2851,P1101,25.27979927,54.68915991,TRUE
2852,P1101,25.27979927,54.68915991,TRUE
2853,P1101,25.27979927,54.68915991,TRUE
2854,P1101,25.27979927,54.68915991,TRUE
2855,P1101,25.27979927,54.68915991,TRUE
2856,P1101,25.27979927,54.68915991,TRUE
2857,P1101,25.27979927,54.68915991,TRUE
375,P1027,23.03138894,49.15611098,TRUE
544,P1027,22.81583296,49.27444398,TRUE
1028,P1027,23.02749994,49.13166698,TRUE
2004,P1027,23.06333294,49.15388898,TRUE
2920,P1027,23.21222193,49.02666697,TRUE
2980,P1027,23.10277794,49.14305598,TRUE
3011,P1027,23.04194394,48.99999998,TRUE
28,P1026,24.30194377,49.81861095,TRUE
187,P1026,24.08333281,49.88666695,TRUE
205,P1026,24.04666682,49.77777795,TRUE
928,P1026,23.90472185,49.68222196,TRUE
929,P1026,23.90472185,49.68222196,TRUE
930,P1026,23.90472185,49.68222196,TRUE
931,P1026,23.90472185,49.68222196,TRUE
932,P1026,23.90472185,49.68222196,TRUE
1883,P1026,23.88666685,49.83333296,TRUE
457,P1025,22.36055597,49.95527799,TRUE
1212,P1025,22.46611097,50.06666698,TRUE
1226,P1025,22.33159998,50.02632999,TRUE
1227,P1025,22.33159998,50.02632999,TRUE
1228,P1025,22.33159998,50.02632999,TRUE
1229,P1025,22.33159998,50.02632999,TRUE
1230,P1025,22.33159998,50.02632999,TRUE
1349,P1025,22.42600997,49.99647998,TRUE
1366,P1025,22.41055997,50.05746999,TRUE
1603,P1025,22.49407997,50.05911998,TRUE
1604,P1025,22.49407997,50.05911998,TRUE
1746,P1025,22.37948997,49.96060999,TRUE
2015,P1025,22.57998997,50.16446998,TRUE
2023,P1025,22.46188997,50.01181998,TRUE
988,P1024,22.33041998,49.47009999,TRUE
989,P1024,22.33041998,49.47009999,TRUE
990,P1024,22.33041998,49.47009999,TRUE
1073,P1024,22.24078998,49.42760999,TRUE
1843,P1024,22.43923997,49.55476998,TRUE
105,P1023,23.41666691,49.28333297,TRUE
395,P1023,23.5056099,49.34990997,TRUE
396,P1023,23.5056099,49.34990997,TRUE
397,P1023,23.5056099,49.34990997,TRUE
398,P1023,23.5056099,49.34990997,TRUE
399,P1023,23.5056099,49.34990997,TRUE
400,P1023,23.5056099,49.34990997,TRUE
401,P1023,23.5056099,49.34990997,TRUE
402,P1023,23.5056099,49.34990997,TRUE
403,P1023,23.5056099,49.34990997,TRUE
404,P1023,23.5056099,49.34990997,TRUE
405,P1023,23.5056099,49.34990997,TRUE
406,P1023,23.5056099,49.34990997,TRUE
407,P1023,23.5056099,49.34990997,TRUE
408,P1023,23.5056099,49.34990997,TRUE
409,P1023,23.5056099,49.34990997,TRUE
410,P1023,23.5056099,49.34990997,TRUE
411,P1023,23.5056099,49.34990997,TRUE
412,P1023,23.5056099,49.34990997,TRUE
413,P1023,23.5056099,49.34990997,TRUE
478,P1023,23.26999993,49.24416667,TRUE
1514,P1023,23.24886993,49.33482997,TRUE
1515,P1023,23.24886993,49.33482997,TRUE
1688,P1023,23.5566199,49.38510997,TRUE
1712,P1023,23.4999999,49.29999997,TRUE
1713,P1023,23.4999999,49.29999997,TRUE
1714,P1023,23.4999999,49.44999997,TRUE
1715,P1023,23.4999999,49.44999997,TRUE
1716,P1023,23.4999999,49.44999997,TRUE
1717,P1023,23.4999999,49.44999997,TRUE
1718,P1023,23.4999999,49.44999997,TRUE
1719,P1023,23.4999999,49.44999997,TRUE
1720,P1023,23.4999999,49.44999997,TRUE
1721,P1023,23.4999999,49.44999997,TRUE
1722,P1023,23.4999999,49.44999997,TRUE
1727,P1023,23.36168992,49.20127997,TRUE
1728,P1023,23.36168992,49.20127997,TRUE
1999,P1023,23.41666691,49.28333297,TRUE
2011,P1023,23.45980991,49.27668997,TRUE
439,P1022,22.96064995,49.53629998,TRUE
1762,P1022,22.94999995,49.46833298,TRUE
1856,P1022,23.00055995,49.43855998,TRUE
528,P1021,22.81916696,49.61916698,TRUE
583,P1021,22.31247998,49.73123999,TRUE
1016,P1021,22.56666997,49.68332998,TRUE
1882,P1021,22.46249997,49.60444398,TRUE
216,P1020,22.11555598,49.55472199,TRUE
361,P1020,22.04337998,49.57865999,TRUE
550,P1020,22.01917998,49.62027999,TRUE
551,P1020,22.01917998,49.62027999,TRUE
607,P1020,22.13521998,49.59257999,TRUE
1329,P1020,22.15650998,49.50347999,TRUE
1330,P1020,22.15650998,49.50347999,TRUE
1569,P1020,22.12851998,49.52765999,TRUE
1724,P1020,22.20559998,49.55572999,TRUE
1725,P1020,22.20559998,49.55572999,TRUE
2929,P1020,21.99332998,49.63532999,TRUE
2930,P1020,21.99332998,49.63532999,TRUE
2942,P1020,22.26705998,49.51456999,TRUE
196,P1019,23.68332988,49.64999996,TRUE
1008,P1018,23.19583293,49.75666697,TRUE
1708,P1018,23.37217991,49.78891997,TRUE
2948,P1018,23.14999993,49.78333297,TRUE
2991,P1018,23.14999993,49.81583297,TRUE
376,P1017,22.47583297,49.81888898,TRUE
417,P1017,22.39116997,49.82607999,TRUE
1208,P1017,22.70170996,49.85580998,TRUE
1407,P1017,22.75542996,49.84727998,TRUE
1460,P1017,22.77444396,49.78333298,TRUE
1562,P1017,22.72469996,49.77482998,TRUE
1580,P1017,22.76727996,49.78497998,TRUE
1581,P1017,22.76727996,49.78497998,TRUE
1582,P1017,22.76727996,49.78497998,TRUE
1583,P1017,22.76727996,49.78497998,TRUE
1584,P1017,22.76727996,49.78497998,TRUE
1585,P1017,22.76727996,49.78497998,TRUE
1586,P1017,22.76727996,49.78497998,TRUE
1587,P1017,22.76727996,49.78497998,TRUE
1588,P1017,22.76727996,49.78497998,TRUE
1589,P1017,22.76727996,49.78497998,TRUE
1590,P1017,22.76727996,49.78497998,TRUE
1591,P1017,22.76727996,49.78497998,TRUE
1592,P1017,22.76727996,49.78497998,TRUE
1593,P1017,22.76727996,49.78497998,TRUE
1594,P1017,22.76727996,49.78497998,TRUE
1595,P1017,22.76727996,49.78497998,TRUE
1596,P1017,22.76727996,49.78497998,TRUE
1597,P1017,22.76727996,49.78497998,TRUE
