city,longitude,latitude,count,scale
Sieradz,18.73023,51.59584,1,1
Sierpc,19.668056,52.853056,1,1
Skalat,25.97869,49.42732,1,1
Skarszewy,18.445833,54.067222,1,1
Skawina,19.82869,49.97524,1,1
Skelivka,22.96065,49.5363,1,1
Skhidnytsia,23.353056,49.223611,1,1
Skierniewice,20.15837,51.95485,1,1
Skoczów,18.7877,49.80089,1,1
Slawków,19.38967,50.29943,1,1
Slomniki,20.0768,50.2399,1,1
Slonim,25.3163,53.0869,1,1
Slupca,17.87192,52.28733,1,1
Smigiel,16.52704,52.01339,1,1
Sniadowo,21.989722,53.038889,1,1
Sniatyn,25.56937,48.44692,1,1
Snietnica,21.05272,49.51144,1,1
Sobienie-Jeziory,21.302778,51.932222,1,1
Sobków,20.45062,50.69999,1,1
Sokólka,23.5,53.406944,1,1
SrodaWielkopolska,17.27617,52.22843,1,1
StalowaWola,22.05334,50.58286,1,1
Stara,25.86112,51.3713,1,1
Starachowice,21.07126,51.0374,1,1
StaryDzików,22.92984,50.24699,1,1
Stolin,26.84597,51.89115,1,1
Strusiv,25.616667,49.338889,1,1
Stryków,19.6156,51.9023,1,1
Strzegowo,20.284803,52.893672,1,1
Strzyzów,20.448,51.44754,1,1
Swarzedz,17.08503,52.41289,1,1
Swiecie,18.445833,53.408333,1,1
Szadek,18.97549,51.69174,1,1
Szamocin,17.12653,53.02795,1,1
Szamotuly,16.57794,52.61201,1,1
Szczekociny,19.825,50.62669,1,1
Szydlów,21.0068,50.59114,1,1
Tartakiv,24.39842,50.46379,1,1
Terebovlia,25.716667,49.3,1,1
TomaszówMazowiecki,20.00855,51.53131,1,1
Toporiv,24.72568,50.11166,1,1
Torun,18.59814,53.01375,1,1
Tuliszków,18.29549,52.07658,1,1
Turek,18.485278,52.013333,1,1
Turivsk,24.524444,51.088333,1,1
Turka,23.02967,49.15411,1,1
Tyczyn,18.85202,51.51018,1,1
Tyszowce,23.709722,50.618333,1,1
Ujazd,19.06569,51.94399,1,1
Ulanów ,22.265278,50.490278,1,1
Urzedów,22.1383,51.011,1,1
Ustron,18.80198,49.72153,1,1
Verba,25.60282,50.28037,1,1
Wadowice,19.49292,49.88335,1,1
Wagrowiec,17.19961,52.80842,1,1
Warka,21.19091,51.7843,1,1
Warta,18.625,51.708056,1,1
Wejherowo,18.248889,54.604167,1,1
Widawa,18.94421,51.43855,1,1
Wiecbork,17.49064,53.35384,1,1
WielkieOczy,23.1265,50.043,1,1
WielopoleSkrzynskie,21.614444,49.946667,1,1
Wisniowa,19.62442,51.71221,1,1
Wladyslawowo,18.4009,54.79086,1,1
Wloszczowa,19.96593,50.85256,1,1
Wodzislaw,20.190556,50.52,1,1
Wolbrom,19.75831,50.37957,1,1
Wolsztyn,16.11712,52.11552,1,1
Wyszków,21.4584,52.59278,1,1
Wyszogród,20.190833,52.388889,1,1
Yazlovets ,25.445,48.961389,1,1
Zabludów,23.33831,53.01442,1,1
Zabno,20.885278,50.132778,1,1
Zabolotiv,25.28571,48.47054,1,1
Zaklików,22.10226,50.75769,1,1
Zakopane,19.94885,49.29899,1,1
Zalew,19.22793,51.72783,1,1
Zarki,19.363889,50.624167,1,1
Zawiercie,19.416389,50.4875,1,1
Zbarazh,25.77616,49.66357,1,1
Zelechów,21.89721,51.81051,1,1
Zerków,17.56349,52.06877,1,1
Zhovkva,23.9726,50.05825,1,1
Ziemiecin,18.489803,52.452978,1,1
Zmigród,21.52376,49.60353,1,1
Zolynia,22.30825,50.162,1,1
Zyrardów,20.44599,52.0488,1,1
,,,,1
,,,,1
,,,,1
,,,,1
,,,,1
,,,,1
,,,,1
,,,,1
,,,,1
